"fi_FI";"en_GB";"se_SV"
"Lataa JPEG-kuvat";"Download JPEG-image";"Ladda JPEG-bild"
"Lataa PDF-dokumentti";"Download PDF-document";"Ladda PDF"
"Lataa SVG-vektorikuva";"Download SVG-vector-image";"Ladda SVG-vektor-bild"
"Lataa CSV-tiedosto";"Download CSV-file";"Ladda CSV-fil"
"Lataa XLS-tiedosto";"Download XLS-file";"Download XLS-fil"
Aluehallintovirasto;"Regional State Administrative Agency Area (Avi)";RFV-område
Toteuttaja;"Host institution";Bibliotek
Pinottu;Stacked;Stapla
Rinnakkain;Normal;Normal
"Vaihda palkkien asettelua";"Change chart layout";"Change chart layout"
Tietokanta;Database;Databas
"(yhteensä {0} €)";"(total {0} €)";"(sammanlagd {0} €)"
Info;Info;Info
Väriselite;Legend;Legend
"ja {0} muuta";" and {0} anothers";
"Valitse kaikki";"Select all";
"Poista kaikki";"Unselect all";
"Syötä hakusana";Filter;
Visualisointi;Visualisation;
Etsi;Search;
"Rajaa hankkeiden määrää";"Filter projects";
"Akaan kaupunginkirjasto";;
"Alajärven kaupunki/Alajärven kaupunginkirjasto";;
"Alajärven kaupunki/Järvi-Pohjanmaan kirjastot: Alajärvi,Soini,Vimpeli";;
"Alajärven kaupunki/YTY -kirjastot: Alajärvi (sisältää Lehtimäen), Evijärvi, Lappajärvi, Perho, Soini, Veteli ja Vimpeli";;
"Alavieskan kunnankirjasto";;
"Alavieskan kunta/Kirjasto";;
"Alavuden kaupunginkirjasto";;
"Asikkalan kirjasto";;
"Askolan kunnankirjasto";;
"Auran kirjasto";;
"Auran kirjasto";;
"Enonkosken kunnankirjasto";;
"Enontekiön kunnankirjasto";;
"Esbo stadsbibliotek";;
"Espoon kaupunginkirjasto";;
"Espoon kaupunginkirjasto - Entressen kirjasto";;
"Espoon kaupunginkirjasto - Kirjasto Omena";;
"Espoon kaupunginkirjasto - Sellon kirjasto";;
"Espoon kaupunginkirjasto - Tapiolan kirjasto";;
"Espoon kaupunginkirjasto - kirjastoauto";;
"Espoon kaupunginkirjasto / Entressen kirjasto";;
"Espoon kaupunginkirjasto. Sellon toimipiste";;
"Espoon kaupunginkirjasto/Hakeutuva toiminta";;
"Euran kunnankirjasto";;
"Forssan kaupunginkirjasto";;
"Haapajärven kirjasto";;
"Haapaveden kirjasto";;
"Hailuodon kunta / kunnankirjasto";;
"Halsuan kunnankirjasto";;
"Haminan kaupunginkirjasto";;
"Hangon kaupunginkirjasto";;
"Hangon kaupunginkirjasto - Hangö stadsbibliotek";;
"Hankasalmen kirjasto";;
"Harjavallan kaupunginkirjasto";;
"Hartolan kunnankirjasto";;
"Hattulan kunnankirjasto";;
"Heinolan kaupunginkirjasto";;
"Heinäveden kunnankirjasto";;
"Helsingin kaupunginkirjasto";;
"Honkajoen kunnankirjasto";;
"Huittisten kaupunginkirjasto";;
"Hyrynsalmen kirjasto";;
"Hyrynsalmen kunta / kunnankirjasto";;
"Hyvinkään kaupunginkirjasto";;
"Hyvinkään kaupunginkirjasto";;
"Hämeenkyrön kirjasto";;
"Hämeenlinnan kaupunginkirjasto";;
"Hämeenlinnan kaupunginkirjasto - Hämeen maakuntakirjasto";;
"Hämeenlinnan kaupunginkirjasto-Hämeen maakuntakirjasto";;
"Iin kunta /Ii-instituutti -liikelaitos /Pääkirjasto";;
"Iisalmen kaupunginkirjasto";;
"Iitin kunnankirjasto";;
"Ikaalisten kaupunginkirjasto";;
"Ilmajoen kunnankirjasto";;
"Ilomantsin kunnankirjasto";;
"Imatran kaupunginkirjasto";;
"Inarin kunnankirjasto";;
"Ingå kommunbibliotek";;
"Isojoen kirjasto";;
"Isojoen kunnankirjasto";;
"Isonkyrön kunnankirjasto";;
"JJR-kirjasto, Juvan kirjasto";;
"Jalasjärven kunnankirjasto";;
"Janakkalan kirjasto";;
"Joensuun seutukirjasto - Pohjois-Karjalan maakuntakirjasto";;
"Jokelan kirjasto";;
"Jokioisten kunnankirjasto";;
"Joutsan kunnankirjasto";;
"Juuan kunnankirjasto";;
"Jyväskylän kaupunginkirjasto - Keski-Suomen maakuntakirjasto";;
"Jyväskylän kaupunginkirjasto – Keski-Suomen maakuntakirjasto";;
"Jämsän kaupunginkirjasto";;
"Kaarinan kaupunginkirjasto";;
"Kaavin kirjasto";;
"Kajaanin kaupunginkirjasto - Kainuun maakuntakirjasto";;
"Kalajoen kaupunginkirjasto";;
"Kalajoen kaupunki/kaupunginkirjasto";;
"Kangasalan kunnankirjasto";;
"Kangasniemen kunnankirjasto";;
"Kankaanpään kaupunginkirjasto";;
"Kannonkosken kunnankirjasto";;
"Kannuksen kaupunginkirjasto";;
"Karijoen kunnankirjasto";;
"Karkkilan kaupunginkirjasto";;
"Karleby stadsbibliotek-landskapsbibliotek";;
"Kaskisten kaupunginkirjasto";;
"Kauhajoen kaupunginkirjasto";;
"Kauhavan kaupunginkirjasto";;
"Kaustisen kirjasto";;
"Keiteleen ja Pielaveden kirjastot";;
"Keiteleen ja Pielaveden kunnankirjastot";;
"Keiteleen kunnankirjasto";;
"Kemijärven kaupunginkirjasto";;
"Kemin kaupunginkirjasto";;
"Keminmaan kunnankirjasto";;
"Kempeleen kirjasto";;
"Kempeleen kunta/ kirjasto";;
"Keravan kaupunginkirjasto";;
"Kerimäen kirjasto";;
"Keuruun kaupunginkirjasto";;
"Kihniön kunnankirjasto";;
"Kimitoöns kommunbibliotek";;
"Kirkkonummen kunnankirjasto";;
"Kiteen kaupunginkirjasto";;
"Kittilän kunnankirjasto";;
"Kiuruveden kaupunginkirjasto";;
"Koillis-Savon aluekirjasto";;
"Kokemäen kaupunginkirjasto";;
"Kokkolan kaupunginkirjasto - maakuntakirjasto";;
"Kokkolan kaupunginkirjasto-maakuntakirjasto";;
"Kokkolan kaupunginkirjato-maakuntakirjasto";;
"Kolarin kunnankirjasto";;
"Korsholms bibliotek";;
"Korsnäs kommunbibliotek";;
"Kotkan kaupunginkirjasto";;
"Kouvolan kaupunginkirjasto";;
"Kouvolan kaupunginkirjasto - maakuntakirjasto";;
"Kouvolan kaupunginkirjasto-maakuntakirjasto";;
"Kronoby kommunbibliotek";;
"Kuhmoisten kunnakirjasto";;
"Kuhmon kaupunginkirjasto";;
"Kuopion kaupunginkirjasto";;
"Kuopion kaupunginkirjasto - Pohjois-Savon maakuntakirjasto";;
"Kuopion kaupunginkirjasto - Pohjois-savon maakuntakirjasto";;
"Kuortaneen kunnankirjasto";;
"Kurikan kaupunginkirjasto";;
"Kurikan kaupunginkirjasto/Jalasjärven kirjasto";;
"Kustavin kunnankirjasto";;
"Kuusamon kaupunginkirjasto";;
"Kyyjärven kunnankirjasto";;
"Kärsämäen kirjasto";;
"Lahden kaupunginkirjasto-maakuntakirjasto";;
"Laihian kirjasto";;
"Lapin maakuntakuntakirjasto - Rovaniemen kaupunginkirjasto";;
"Lapinjärven kirjasto";;
"Lapinlahden kunnankirjasto";;
"Lappeenrannan maakuntakirjasto";;
"Lapuan kaupunginkirjasto";;
"Larsmo kommunbibliotek";;
"Laukaan kunnankirjasto";;
"Lempäälän kunnankirjasto";;
"Leppävirran kunnankirjasto";;
"Liedon kunnankirjasto";;
"Lieksan kaupunginkirjasto";;
"Limingan kirjasto";;
"Limingan kunnankirjasto";;
"Lohjan kaupunginkirjasto";;
"Lohjan kaupunginkirjato";;
"Loimaan kaupunginkirjasto";;
"Lopen kunnankirjasto";;
"Loviisan kaupunginkirjasto";;
"Luhangan kunnankirjasto";;
"Lumijoen kirjasto Hiidenkivi";;
"Lumijoen kunnankirjasto";;
"Luumäen kunnankirjasto";;
"Luvian kunnankirjasto";;
"Marttilan kunnankirjasto";;
"Maskun kunnankirjasto";;
"Merijärven kunnankirjasto";;
"Mikkelin kaupunginkirjasto";;
"Mikkelin kaupunginkirjasto - Etelä-Savon maakuntakirjasto";;
"Muhoksen kunnankirjasto";;
"Muonion kunnankirjasto";;
"Mynämäen kunnankirjasto";;
"Myrskylän kirjasto";;
"Mäntsälän kirjasto";;
"Mänttä-Vilppulan kaupunginkirjasto";;
"Mäntyharjun kunnankirjasto";;
"Naantalin kaupunginkirjasto";;
"Nakkilan kunnankirjasto";;
"Nilsiän kirjasto";;
"Nivalan kaupunginkirjasto";;
"Nivalan kaupunginkirjasto / Tiekkö-kirjastot";;
"Nokian kaupunginkirjasto";;
"Nousiaisten kunnankirjasto";;
"Nurmeksen kaupunginkirjasto";;
"Nurmijärven kirjasto";;
"Nurmijärven kunnankirjasto";;
"Nykarleby stadsbibliotek";;
"Orimattilan kaupunginkirjasto";;
"Oripään kirjasto";;
"Oriveden kaupunginkirjasto";;
"Oulaisten kaupunginkirjasto";;
"Oulaisten kaupunki/ kaupunginkirjasto";;
"Oulun kaupunginkirjasto-maakuntakirjasto";;
"Padasjoen kunnankirjasto";;
"Paimion kaupunginkirjasto";;
"Paltamon kunnankirjasto";;
"Paraisten kirjasto";;
"Pargas bibliotek";;
"Pargas stadsbibliotek";;
"Pargas stadsbibliotek / Blankabiblioteken";;
"Pargas stadsbibliotek / Iniö och Utö bibliotek";;
"Pargas stadsbibliotek / Pargas bibliotek";;
"Parikkalan kirjasto";;
"Parkanon kaupunginkirjasto";;
"Pedersöre kommunbibliotek";;
"Pieksämäen kaupunginkirjasto";;
"Pirkkalan kunnankirjasto";;
"Pomarkun kunnankirjasto";;
"Porin kaupunginkirjasto - Satakunnan maakuntakirjasto";;
"Pornaisten kunnankirjasto";;
"Porvoon kaupunginkirjasto - Uudenmaan maakuntakirjasto";;
"Posion kunnankirjasto";;
"Pudasjärven kaupuginkirjasto";;
"Pudasjärven kaupunginkirjasto";;
"Pukkilan kunnankirjasto";;
"Punkaharjun kirjasto";;
"Punkalaitumen kirjasto";;
"Pyhäjoen kunnankirjasto";;
"Pyhäjärven kirjasto";;
"Pyhännän kunnankirjasto";;
"Pälkäneen kunnankirjasto";;
"Pöytyän kirjasto";;
"Raahen kaupunginkirjasto";;
"Raision kaupunginkirjasto";;
"Rantsilan kirjasto";;
"Ranuan kunnankirjasto";;
"Raseborgs stadsbibliotek";;
"Raseborgs stadsbibliotek/ Ekenäs bibliotek";;
"Rauman kaupunginkirjasto";;
"Rautalammin kunnankirjasto";;
"Rautavaaran kunnankirjasto";;
"Riihimäen kaupunginkirjasto";;
"Ristijärven kirjasto";;
"Rovaniemen kaupunginkirjasto - Lapin maakuntakirjasto";;
"Rovaniemen kaupunginkirjasto/Suomen saamelainen erikoiskirjasto";;
"Ruoveden kunnankirjasto";;
"Rääkkylän kirjasto";;
"Saarijärven kaupunginkirjasto";;
"Sallan kunnankirjasto";;
"Sastamalan kaupunginkirjasto";;
"Sauvon kirjasto";;
"Sauvon kunnankirjaston asiakaspalvelutoimintojen kehittäminen";;
"Savonlinnan kaupunginkirjasto";;
"Seinäjoen kaupunginkirjasto";;
"Seinäjoen kaupunginkirjasto /Ylistaron kirjasto";;
"Seinäjoen kaupunginkirjasto-maakuntakirjasto";;
"Seinäjoen kaupunginkirjasto/ Ylistaron kirjasto";;
"Sibbo kommunbibliotek/Sibbo huvudbibliotek";;
"Siikaisten kunnankirjasto";;
"Siilinjärven kunnankirjasto";;
"Simon kunnankirjasto";;
"Sipoon kunnankirjasto";;
"Sipoon kunnankirjasto / Söderkullan kirjasto";;
"Someron kaupunginkirjasto";;
"Sompion kirjasto";;
"Sonkajärven kunnankirjasto";;
"Sonkajärven kunnankirjasto, Iisalmen kaupunginkirjasto, Vieremän kunnankirjasto";;
"Sotkamon kunnankirjasto";;
"Stadsbiblioteket i Jakobstad / Fredrikabiblioteken";;
"Stadsbiblioteket i Kristinestad";;
"Stadsbiblioteket i Kristinestad Kristiinankaupungin kirjasto";;
"Suomussalmen kunnankirjasto";;
"Sysmän kunnankirjasto";;
"Söderkullan kirjasto";;
"Taivalkosken kirjasto";;
"Taivalkosken kunnankirjasto";;
"Tampereen kaupunginkirjasto - Pirkanmaan maakuntakirjasto";;
"Tampereen kaupunginkirjasto – Pirkanmaan maakuntakirjasto";;
"Tarvasjoen kirjasto";;
"Tervolan kunnankirjasto";;
"Teuvan kunnankirjasto";;
"Toenperän kirjasto";;
"Toenperän kirjasto, Juvan kirjasto";;
"Tohmajärven kunnankirjasto";;
"Toholammin kunnankirjasto";;
"Toivakan kunnankirjasto";;
"Tornion kaupunginkirjasto";;
"Tornionlaakson kirjasto";;
"Turun kaupunginkirjasto";;
"Tuusulan kunnankirjasto";;
"Tyrnävän kunnankirjasto";;
"Urjalan kirjasto";;
"Urjalan kunnankirjasto";;
"Utsjoen kunnankirjasto";;
"Uudenkaupungin kaupunginkirjasto";;
"Uuraisten kunnankirjasto";;
"Uuraisten kunnankirjasto, (Petäjäveden kunnankirjasto)";;
"Uuraisten kunnankirjasto, Luhangan kunnankirjasto";;
"Uuraisten kunnankirjasto, Saarijärven kaupunginkirjasto";;
"Vaalan kirjasto";;
"Vaasan kaupunginkirjasto - maakuntakirjasto";;
"Vaasan kaupunginkirjasto-maakuntakirjasto";;
"Valkeakosken kaupunginkirjasto";;
"Valtimon kunnankirjasto";;
"Vantaan kirjasto- ja tietopalvelut";;
"Varkauden kaupunginkirjasto";;
"Vehmaan kunnankirjasto";;
"Vesannon kunnankirjasto";;
"Vesilahden kirjasto";;
"Vetelin kunnankirjasto";;
"Vieremän kunnankirjasto";;
"Vihdin kunnankirjasto";;
"Vihdin kunnankirjasto";;
"Viitasaaren ja Pihtiputaan kirjastot";;
"Virolahden kunnankirjasto";;
"Virtain kaupunginkirjasto";;
"Vörå kommunbibliotek";;
"Wiitaunionin aluekirjasto";;
"Yleisten kirjastojen keskuskirjasto";;
"Ylivieskan kaupunginkirjasto";;
"Ylöjärven kaupunginkirjasto";;
"Ähtärin kaupunginkirjasto";;
"Äänekosken kaupunginkirjasto";;
Helsinki-Keskuskirjasto;;
Haapavesi;;
Honkajoki;;
Kankaanpää;;
Kemi;;
Kittilä;;
Kolari;;
Posio;;
Rovaniemi;;
Sodankylä;;
Valtimo;;
Alavieska;;
Alavus;;
Asikkala;;
Askola;;
Aura;;
Forssa;;
Haapajärvi;;
Hankasalmi;;
Harjavalta;;
Hattula;;
Heinola;;
Heinävesi;;
Huittinen;;
Imatra;;
Jalasjärvi;;
Janakkala;;
Joensuu;;
Juuka;;
Jyväskylä;;
Jämsä;;
Kaavi;;
Kalajoki;;
Kangasala;;
Kangasniemi;;
Kannonkoski;;
Kauhajoki;;
Kauhava;;
Keitele;;
Kempele;;
Kiuruvesi;;
Korsnäs;;
Kotka;;
Kouvola;;
Kuhmo;;
Kuopio;;
Kurikka;;
Kuusamo;;
Kärsämäki;;
Lapinlahti;;
Laukaa;;
Lieksa;;
Luumäki;;
Luvia;;
Masku;;
Muonio;;
Mäntsälä;;
Mäntyharju;;
Nakkila;;
Nivala;;
Nokia;;
Orimattila;;
Orivesi;;
Oulainen;;
Paltamo;;
Parkano;;
Pyhäjoki;;
Pyhäntä;;
Pälkäne;;
Pöytyä;;
Ranua;;
Rääkkylä;;
Saarijärvi;;
Salla;;
Seinäjoki;;
Siikainen;;
Siilinjärvi;;
Somero;;
Sonkajärvi;;
Tarvasjoki;;
Tervola;;
Tohmajärvi;;
Toholampi;;
Toivakka;;
Urjala;;
Uurainen;;
Valkeakoski;;
Varkaus;;
Vehmaa;;
Viitasaari;;
Ylivieska;;
Äänekoski;;
Enonkoski;;
Eura;;
Hartola;;
Hyrynsalmi;;
Ii;;
Ilmajoki;;
Juva;;
Joutsa;;
Kannus;;
Kemijärvi;;
Keminmaa;;
Kihniö;;
Kitee;;
Kruunupyy;;
Kuortane;;
Kyyjärvi;;
Loimaa;;
Lumijoki;;
Merijärvi;;
Muhos;;
Mynämäki;;
Mänttä-Vilppula;;
Nurmes;;
Nurmijärvi;;
Oripää;;
Padasjoki;;
Pudasjärvi;;
Pukkila;;
Siikalatva;;
Riihimäki;;
Ruovesi;;
Sastamala;;
Suomussalmi;;
Tyrnävä;;
Vaala;;
Pihtipudas;;
Akaa;;
Alajärvi;;
Halsua;;
Iitti;;
Keuruu;;
Lempäälä;;
Luhanka;;
Marttila;;
Pieksämäki;;
Rautalampi;;
Ristijärvi;;
Taivalkoski;;
Vesanto;;
Vieremä;;
Ylöjärvi;;
Kuhmoinen;;
Leppävirta;;
Loppi;;
Parikkala;;
Punkalaidun;;
Pyhäjärvi;;
Rautavaara;;
Simo;;
Sotkamo;;
Sysmä;;
Utsjoki;;
Vesilahti;;
Virolahti;;
"Voit tarkentaa näkymää";"Barchart can be zoomed";
"maalaamalla palkkeja pystysuoraan";"by selecting the bars vertically";
"Nuoret aikuiset (19.-29 v.)";;
"Etsimääsi kohderyhmää ei löydy";"Target group you were searching for cannot be found";
"{0} euroa";"{0} euros";
"hyvät käytänteet";"good practices";
Hanketyyppi;"Funding body";
"hankkeet, joille ei myönnetty rahoitusta";"projects that did not receive funding";
"Alajärven kaupunki/Alajärven kaupunginkirjasto/YTY -kirjastot (Alajärvi\t pääkirjasto ja Lehtimäen toimipiste, Evijärvi, Lappajärvi, Perho, Soini, Veteli ja Vimpeli)";;
"Entressen kirjasto";;
"Espoon kaupunginkirjasto (HelMet-kirjastot)";;
"Hollolan kunnankirjasto";;
"Humppilan kunnankirjasto";;
"Karjalohjan kunnankirjasto";;
"Salon kirjasto";;
Hollola;;
Humppila;;
Salo;;
"seutukunnat\t";;
"kunnan- tai kaupunginosat\t";;
"maakunta\t";;
"valtakunnallinen\t";;
"ylimaakunnallinen\t";;
"kansainvälinen\t";;
"Kirjaston henkilökunta";;"Bibliotekets personal"
"Kirjaston ei-käyttäjät";;"Bibliotekets icke-användare"
"Tietty ammattiryhmä (esim. opettajat)";;"En viss yrkesgrupp (t.ex. lärare)"
Erityisryhmät;;Specialgrupper
"Nuoret (13-19  v.)";;"Unga (13-19 år)"
Sidosryhmät;;Intressentgrupper
"Kirjaston asiakkaat";;"Bibliotekets kunder"
Lapsiperheet;;Barnfamiljer
Ikääntyneet;;Seniorer
"uudet hakemukset";;
"Hyrynsalmen kunnankirjasto";;
"Kotkan kaupunginkirjasto/ Kotkan pääkirjasto";;
"Lukas-biblioteken genom Raseborgs stadsbibliotek";;
"Nurmjärven kunnankirjasto";;
"Rovaniemen kaupunginkirjasto";;
"Rovaniemen kaupunginkirjasto _ Lapin maakuntakirjasto";;
"Sipoon kunnankirjasto/Söderkullan kirjasto";;
"Toenperän kirjasto,  Juvan kirjasto";;
"Tyrnävän kunta /Pääkirjasto";;
"Uudenkaupungin kaupunginkirjasto,  Laitilan kaupunginkirjasto ja Pyhärannan kunnankirjasto";;
"Vaasan kaupunginkirjasto";;
"Vasa stadsbibliotek/Brändö bibliotek";;
"Työikäinen väestö";;"Befolkning i arbetsför ålder"
"Lapset (alle 13 v.)";;"Barn (under 13 år)"
"Nuoret aikuiset (19.-29 v.)";;
Miehet;;Män
Naiset;;Kvinnor
Maahanmuuttajat;;Invandrare
Työttömät;;Arbetslösa
"Klikkaamalla välitotsikkoa voit valita tai poistaa valinnat kaikista väliotsikon alaisista muuttujista kerralla.";"By clicking the subtitle you can check or uncheck all the selections under the subtitle.";
Yhteistyössä;"In co-operation with";
"Tekninen toteutus";"Technical implementation";
ja;" and ";
kokonaissumma;"Total amount";
KOKONAISSUMMA;"TOTAL AMOUNT";
"0 euroa";;"0 euro"
"ei suoritettuja tutkintoja";;
"{0} suoritettua tutkintoa";;
"ei aloittaneita henkilöitä";;
"{0} aloittanutta henkilöä";;
"ei etäopetuspäiviä";;
"{0} etäopetuspäivää";;
"ei koulutus- ja henkilötyöpäiviä";;
"{0} koulutus- ja henkilötyöpäivää";;
yhteensä;;"Den totala mängden"
"Etsi käytännettä nimeltä";;"Sökt projekt enligt namn"
"Tarkastele kohderyhmittäin:";;"Granska målgruppsvis:"
Pallokuvio;;Bubbladiagram
Palkkikuvio;;Stapeldiagram
Suodattimet:;;Filter:
"ja {0} muuta";;" och {0} övrig"
ja;;" och "
"Auran kirjasto";;
"Hyvinkään kaupunginkirjasto";;
"Oriveden kaupunginkirjasto";;
"Vihdin kunnankirjasto";;
Strategisk;;
Inlärningsmiljö;;
Utvecklande;;
"Voit vaihtaa palkkien asettelua sivupalkista (pinottu tai rinnakkan) ja suurentaa osaa kaaviosta maalaamalla palkkeja pystysuoraan.";;
"Hankkeiden jakaumaa voi muuttaa yläpalkin ""tarkastele""-valikoista. Väritystä voi muuttaa vasemmassa sivupalkissa olevasta valikosta.";;
"Helsingin kaupunginkirjasto - yleisten kirjastojen keskuskirjasto";;
LUKUINTO-ohjelma;;
"Pellon ja Ylitornion kirjastot";;
"Pyhäjoen kunnankirjasto (yhteistyössä Merijärven kunnankirjaston kanssa)";;
"Seinäjoen kaupunginkirjasto, Seinäjoen kaupungin Maahanmuuttajakeskus, Seinäjoen Kansalaisopisto ja Sedu Aikuiskoulutus";;
"Yleisten kirjastojen keskuskirjasto - Kirjastot.fi";;
Pello;;
"Nuoret (13-19  v.)";;
"Kirjaston ei-käyttäjät";;
"Kirjaston henkilökunta";;
"Kirjaston asiakkaat";;
"Tietty ammattiryhmä (esim. opettajat)";;
Erityisryhmät;;
Sidosryhmät;;
Ikääntyneet;;
Lapsiperheet;;
"Rovaniemen kaupunginkirjasto";;
"Nuoret aikuiset (19.-29 v.)";;
"Lapset (alle 13 v.)";;
"Työikäinen väestö";;
Maahanmuuttajat;;
Työttömät;;
Miehet;;
Naiset;;
